# CH505TF SAXS T-Jumps Second Right Vectors
Double Exponential Decay Fit | Calculated with tr_tjump_saxs_analysis Python package | 25 February 2024time,double_exp_decay_model
2.025995995995995997e+02,-2.978683853732794727e-04
2.035975975975975985e+02,-2.981765515925041340e-04
2.045955955955955972e+02,-2.984843239103094465e-04
2.055935935935935959e+02,-2.987917028301858343e-04
2.065915915915915946e+02,-2.990986888549800309e-04
2.075895895895895933e+02,-2.994052824868957295e-04
2.085875875875875920e+02,-2.997114842274949380e-04
2.095855855855855907e+02,-3.000172945776980338e-04
2.105835835835835894e+02,-3.003227140377852811e-04
2.115815815815815881e+02,-3.006277431073973733e-04
2.125795795795795868e+02,-3.009323822855360835e-04
2.135775775775775855e+02,-3.012366320705654570e-04
2.145755755755755843e+02,-3.015404929602125703e-04
2.155735735735735830e+02,-3.018439654515679108e-04
2.165715715715715817e+02,-3.021470500410869484e-04
2.175695695695695804e+02,-3.024497472245901361e-04
2.185675675675675791e+02,-3.027520574972644273e-04
2.195655655655655778e+02,-3.030539813536636557e-04
2.205635635635635765e+02,-3.033555192877095651e-04
2.215615615615615752e+02,-3.036566717926923514e-04
2.225595595595595739e+02,-3.039574393612719098e-04
2.235575575575575726e+02,-3.042578224854782139e-04
2.245555555555555713e+02,-3.045578216567124000e-04
2.255535535535535701e+02,-3.048574373657474178e-04
2.265515515515515688e+02,-3.051566701027288975e-04
2.275495495495495675e+02,-3.054555203571760174e-04
2.285475475475475662e+02,-3.057539886179820457e-04
2.295455455455455649e+02,-3.060520753734156420e-04
2.305435435435435636e+02,-3.063497811111211278e-04
2.315415415415415623e+02,-3.066471063181195169e-04
2.325395395395395610e+02,-3.069440514808092742e-04
2.335375375375375597e+02,-3.072406170849673458e-04
2.345355355355355584e+02,-3.075368036157495382e-04
2.355335335335335571e+02,-3.078326115576914945e-04
2.365315315315315559e+02,-3.081280413947097780e-04
2.375295295295295261e+02,-3.084230936101021981e-04
2.385275275275275249e+02,-3.087177686865487315e-04
2.395255255255255236e+02,-3.090120671061126066e-04
2.405235235235235223e+02,-3.093059893502406285e-04
2.415215215215215210e+02,-3.095995358997644803e-04
2.425195195195195197e+02,-3.098927072349010482e-04
2.435175175175175184e+02,-3.101855038352533973e-04
2.445155155155155171e+02,-3.104779261798116391e-04
2.455135135135135158e+02,-3.107699747469536361e-04
2.465115115115115145e+02,-3.110616500144457609e-04
2.475095095095095132e+02,-3.113529524594436547e-04
2.485075075075075119e+02,-3.116438825584930410e-04
2.495055055055055107e+02,-3.119344407875306469e-04
2.505035035035035094e+02,-3.122246276218846369e-04
2.515015015015015081e+02,-3.125144435362758595e-04
2.524994994994995068e+02,-3.128038890048181727e-04
2.534974974974975055e+02,-3.130929645010195822e-04
2.544954954954955042e+02,-3.133816704977826213e-04
2.554934934934935029e+02,-3.136700074674055429e-04
2.564914914914915016e+02,-3.139579758815828621e-04
2.574894894894895288e+02,-3.142455762114061690e-04
2.584874874874874990e+02,-3.145328089273648339e-04
2.594854854854854693e+02,-3.148196744993469283e-04
2.604834834834834965e+02,-3.151061733966398215e-04
2.614814814814814667e+02,-3.153923060879311024e-04
2.624794794794794939e+02,-3.156780730413093921e-04
2.634774774774774642e+02,-3.159634747242646697e-04
2.644754754754754913e+02,-3.162485116036896815e-04
2.654734734734734616e+02,-3.165331841458801578e-04
2.664714714714714887e+02,-3.168174928165360055e-04
2.674694694694694590e+02,-3.171014380807617421e-04
2.684674674674674861e+02,-3.173850204030674712e-04
2.694654654654654564e+02,-3.176682402473693162e-04
2.704634634634634835e+02,-3.179510980769907754e-04
2.714614614614614538e+02,-3.182335943546628311e-04
2.724594594594594810e+02,-3.185157295425252496e-04
2.734574574574574513e+02,-3.187975041021267990e-04
2.744554554554554784e+02,-3.190789184944265496e-04
2.754534534534534487e+02,-3.193599731797941996e-04
2.764514514514514758e+02,-3.196406686180110505e-04
2.774494494494494461e+02,-3.199210052682706579e-04
2.784474474474474732e+02,-3.202009835891799156e-04
2.794454454454454435e+02,-3.204806040387589471e-04
2.804434434434434706e+02,-3.207598670744430574e-04
2.814414414414414409e+02,-3.210387731530824616e-04
2.824394394394394681e+02,-3.213173227309435321e-04
2.834374374374374383e+02,-3.215955162637094489e-04
2.844354354354354655e+02,-3.218733542064808502e-04
2.854334334334334358e+02,-3.221508370137768622e-04
2.864314314314314629e+02,-3.224279651395353706e-04
2.874294294294294332e+02,-3.227047390371142127e-04
2.884274274274274603e+02,-3.229811591592918283e-04
2.894254254254254306e+02,-3.232572259582674763e-04
2.904234234234234577e+02,-3.235329398856630237e-04
2.914214214214214280e+02,-3.238083013925226205e-04
2.924194194194194552e+02,-3.240833109293139464e-04
2.934174174174174254e+02,-3.243579689459291323e-04
2.944154154154154526e+02,-3.246322758916849772e-04
2.954134134134134229e+02,-3.249062322153240326e-04
2.964114114114114500e+02,-3.251798383650154152e-04
2.974094094094094203e+02,-3.254530947883551325e-04
2.984074074074074474e+02,-3.257260019323672756e-04
2.994054054054054177e+02,-3.259985602435045066e-04
3.004034034034034448e+02,-3.262707701676487637e-04
3.014014014014014151e+02,-3.265426321501120198e-04
3.023993993993993854e+02,-3.268141466356372046e-04
3.033973973973974125e+02,-3.270853140683986377e-04
3.043953953953953828e+02,-3.273561348920029507e-04
3.053933933933934100e+02,-3.276266095494897372e-04
3.063913913913913802e+02,-3.278967384833322580e-04
3.073893893893894074e+02,-3.281665221354381997e-04
3.083873873873873777e+02,-3.284359609471504881e-04
3.093853853853854048e+02,-3.287050553592478302e-04
3.103833833833833751e+02,-3.289738058119455813e-04
3.113813813813814022e+02,-3.292422127448963419e-04
3.123793793793793725e+02,-3.295102765971907703e-04
3.133773773773773996e+02,-3.297779978073583419e-04
3.143753753753753699e+02,-3.300453768133678909e-04
3.153733733733733970e+02,-3.303124140526285868e-04
3.163713713713713673e+02,-3.305791099619902586e-04
3.173693693693693945e+02,-3.308454649777446428e-04
3.183673673673673647e+02,-3.311114795356254908e-04
3.193653653653653919e+02,-3.313771540708098165e-04
3.203633633633633622e+02,-3.316424890179183837e-04
3.213613613613613893e+02,-3.319074848110163027e-04
3.223593593593593596e+02,-3.321721418836138975e-04
3.233573573573573867e+02,-3.324364606686674647e-04
3.243553553553553570e+02,-3.327004415985796533e-04
3.253533533533533841e+02,-3.329640851052008193e-04
3.263513513513513544e+02,-3.332273916198288640e-04
3.273493493493493816e+02,-3.334903615732106967e-04
3.283473473473473518e+02,-3.337529953955426149e-04
3.293453453453453790e+02,-3.340152935164708461e-04
3.303433433433433493e+02,-3.342772563650926862e-04
3.313413413413413764e+02,-3.345388843699567162e-04
3.323393393393393467e+02,-3.348001779590639953e-04
3.333373373373373738e+02,-3.350611375598683316e-04
3.343353353353353441e+02,-3.353217635992770951e-04
3.353333333333333712e+02,-3.355820565036523023e-04
3.363313313313313415e+02,-3.358420166988105617e-04
3.373293293293293686e+02,-3.361016446100245376e-04
3.383273273273273389e+02,-3.363609406620230585e-04
