# CH505TF SAXS T-Jumps Second Right Vectors
Double Exponential Decay Fit | Calculated with tr_tjump_saxs_analysis Python package | 25 February 2024time,double_exp_decay_model
1.866316316316316488e+02,3.908919516560948049e-01
1.876296296296296475e+02,3.911831618690867485e-01
1.886276276276276462e+02,3.914739018921676861e-01
1.896256256256256449e+02,3.917641724845095652e-01
1.906236236236236437e+02,3.920539744040582031e-01
1.916216216216216424e+02,3.923433084075359512e-01
1.926196196196196411e+02,3.926321752504433604e-01
1.936176176176176398e+02,3.929205756870608468e-01
1.946156156156156385e+02,3.932085104704512446e-01
1.956136136136136088e+02,3.934959803524612498e-01
1.966116116116116075e+02,3.937829860837237517e-01
1.976096096096096062e+02,3.940695284136596643e-01
1.986076076076076049e+02,3.943556080904797589e-01
1.996056056056056036e+02,3.946412258611868840e-01
2.006036036036036023e+02,3.949263824715776305e-01
2.016016016016016010e+02,3.952110786662444974e-01
2.025995995995995997e+02,3.954953151885777785e-01
2.035975975975975985e+02,3.957790927807673942e-01
2.045955955955955972e+02,3.960624121838048906e-01
2.055935935935935959e+02,3.963452741374856592e-01
2.065915915915915946e+02,3.966276793804102141e-01
2.075895895895895933e+02,3.969096286499869120e-01
2.085875875875875920e+02,3.971911226824332286e-01
2.095855855855855907e+02,3.974721622127779797e-01
2.105835835835835894e+02,3.977527479748632633e-01
2.115815815815815881e+02,3.980328807013463477e-01
2.125795795795795868e+02,3.983125611237013364e-01
2.135775775775775855e+02,3.985917899722215552e-01
2.145755755755755843e+02,3.988705679760209954e-01
2.155735735735735830e+02,3.991488958630364792e-01
2.165715715715715817e+02,3.994267743600295462e-01
2.175695695695695804e+02,3.997042041925882305e-01
2.185675675675675791e+02,3.999811860851291145e-01
2.195655655655655778e+02,4.002577207608990495e-01
2.205635635635635765e+02,4.005338089419770986e-01
2.215615615615615752e+02,4.008094513492765909e-01
2.225595595595595739e+02,4.010846487025466756e-01
2.235575575575575726e+02,4.013594017203745978e-01
2.245555555555555713e+02,4.016337111201871979e-01
2.255535535535535701e+02,4.019075776182530202e-01
2.265515515515515688e+02,4.021810019296842009e-01
2.275495495495495675e+02,4.024539847684380778e-01
2.285475475475475662e+02,4.027265268473192439e-01
2.295455455455455649e+02,4.029986288779816572e-01
2.305435435435435636e+02,4.032702915709298619e-01
2.315415415415415623e+02,4.035415156355215416e-01
2.325395395395395610e+02,4.038123017799688519e-01
2.335375375375375597e+02,4.040826507113404742e-01
2.345355355355355584e+02,4.043525631355635586e-01
2.355335335335335571e+02,4.046220397574253336e-01
2.365315315315315559e+02,4.048910812805751602e-01
2.375295295295295261e+02,4.051596884075262528e-01
2.385275275275275249e+02,4.054278618396575662e-01
2.395255255255255236e+02,4.056956022772155723e-01
2.405235235235235223e+02,4.059629104193162030e-01
2.415215215215215210e+02,4.062297869639464043e-01
2.425195195195195197e+02,4.064962326079663568e-01
2.435175175175175184e+02,4.067622480471109192e-01
2.445155155155155171e+02,4.070278339759917374e-01
2.455135135135135158e+02,4.072929910880989102e-01
